"다발지식별자","다발지그룹식별자","법정동코드","스팟코드","관할경찰서","다발지명","발생건수","사상자수","사망자수","중상자수","경상자수","부상신고자수","경도","위도","다발지역폴리곤"
197762,"2014110","2726011800","27260001","대구광역시 수성구1","대구광역시 수성구 신매동(사월화성파크드림 부근)",3,3,0,2,1,0,128.715907972876,35.8350440355547,"{""type"":""Polygon"",""coordinates"":[[[128.7174732,35.8363186],[128.7171378,35.8365428],[128.7167551,35.8367093],[128.7163398,35.8368119],[128.715908,35.8368466],[128.7154761,35.8368119],[128.7150609,35.8367093],[128.7146781,35.8365428],[128.7143427,35.8363186],[128.7140674,35.8360454],[128.7138629,35.8357338],[128.7137369,35.8353957],[128.7136944,35.835044],[128.7137369,35.8346924],[128.7138629,35.8343542],[128.7140675,35.8340426],[128.7143428,35.8337695],[128.7146782,35.8335453],[128.7150609,35.8333787],[128.7154761,35.8332762],[128.715908,35.8332415],[128.7163398,35.8332762],[128.7167551,35.8333787],[128.7171378,35.8335453],[128.7174732,35.8337695],[128.7177485,35.8340426],[128.717953,35.8343542],[128.718079,35.8346924],[128.7181216,35.835044],[128.718079,35.8353957],[128.7179531,35.8357338],[128.7177485,35.8360454],[128.7174732,35.8363186]]]}"
197765,"2014110","2729010700","27290003","대구광역시 달서구3","대구광역시 달서구 신당동(성서주공네거리 부근)",3,4,0,0,2,2,128.494526735522,35.8556104290789,"{""type"":""Polygon"",""coordinates"":[[[128.4960924,35.856885],[128.4957569,35.8571092],[128.4953741,35.8572757],[128.4949587,35.8573783],[128.4945267,35.8574129],[128.4940948,35.8573783],[128.4936794,35.8572757],[128.4932966,35.8571092],[128.4929611,35.856885],[128.4926857,35.8566118],[128.4924811,35.8563002],[128.4923551,35.8559621],[128.4923126,35.8556104],[128.4923551,35.8552588],[128.4924811,35.8549206],[128.4926858,35.854609],[128.4929611,35.8543359],[128.4932966,35.8541117],[128.4936794,35.8539451],[128.4940948,35.8538426],[128.4945267,35.8538079],[128.4949587,35.8538426],[128.495374,35.8539451],[128.4957568,35.8541117],[128.4960924,35.8543359],[128.4963677,35.854609],[128.4965723,35.8549206],[128.4966983,35.8552588],[128.4967409,35.8556104],[128.4966984,35.8559621],[128.4965724,35.8563002],[128.4963678,35.8566118],[128.4960924,35.856885]]]}"
197766,"2014110","2820010100","28200001","인천광역시 남동구1","인천광역시 남동구 구월동(모래마을사거리 부근)",3,3,0,3,0,0,126.719302421171,37.4558813655335,"{""type"":""Polygon"",""coordinates"":[[[126.7209008,37.4571556],[126.7205583,37.4573797],[126.7201675,37.4575462],[126.7197434,37.4576488],[126.7193024,37.4576834],[126.7188614,37.4576488],[126.7184374,37.4575462],[126.7180466,37.4573797],[126.717704,37.4571556],[126.7174229,37.4568825],[126.717214,37.456571],[126.7170854,37.4562329],[126.717042,37.4558813],[126.7170854,37.4555298],[126.717214,37.4551917],[126.7174229,37.4548802],[126.7177041,37.4546071],[126.7180466,37.454383],[126.7184374,37.4542165],[126.7188614,37.454114],[126.7193024,37.4540793],[126.7197434,37.454114],[126.7201674,37.4542165],[126.7205582,37.454383],[126.7209008,37.4546071],[126.7211819,37.4548802],[126.7213908,37.4551917],[126.7215194,37.4555298],[126.7215629,37.4558813],[126.7215195,37.4562329],[126.7213908,37.456571],[126.721182,37.4568825],[126.7209008,37.4571556]]]}"
198728,"2014110","4615031023","46150004","전라남도 순천시4","전라남도 순천시 해룡면(한소아과의원앞 부근)",4,4,0,1,3,0,127.527054677233,34.945886806232,"{""type"":""Polygon"",""coordinates"":[[[127.5286029,34.9471616],[127.5282711,34.9473858],[127.5278926,34.9475524],[127.5274818,34.9476549],[127.5270547,34.9476896],[127.5266275,34.9476549],[127.5262168,34.9475524],[127.5258383,34.9473858],[127.5255065,34.9471616],[127.5252342,34.9468884],[127.5250319,34.9465767],[127.5249073,34.9462385],[127.5248653,34.9458868],[127.5249073,34.9455351],[127.5250319,34.9451969],[127.5252343,34.9448852],[127.5255065,34.944612],[127.5258383,34.9443878],[127.5262168,34.9442212],[127.5266276,34.9441187],[127.5270547,34.944084],[127.5274818,34.9441187],[127.5278925,34.9442212],[127.528271,34.9443878],[127.5286028,34.944612],[127.5288751,34.9448852],[127.5290774,34.9451969],[127.529202,34.9455351],[127.5292441,34.9458868],[127.529202,34.9462385],[127.5290775,34.9465767],[127.5288751,34.9468884],[127.5286029,34.9471616]]]}"
198729,"2014110","4677025026","46770001","전라남도 고흥군1","전라남도 고흥군 고흥읍(깔끔세탁소 부근)",4,4,0,2,2,0,127.288687410197,34.6089513527236,"{""type"":""Polygon"",""coordinates"":[[[127.2902293,34.6102262],[127.2898989,34.6104504],[127.2895219,34.610617],[127.2891128,34.6107196],[127.2886874,34.6107542],[127.288262,34.6107196],[127.2878529,34.610617],[127.2874759,34.6104504],[127.2871455,34.6102262],[127.2868743,34.609953],[127.2866728,34.6096413],[127.2865488,34.6093031],[127.2865069,34.6089513],[127.2865488,34.6085996],[127.2866729,34.6082614],[127.2868744,34.6079497],[127.2871456,34.6076765],[127.287476,34.6074523],[127.287853,34.6072857],[127.288262,34.6071831],[127.2886874,34.6071485],[127.2891128,34.6071831],[127.2895219,34.6072857],[127.2898988,34.6074523],[127.2902293,34.6076765],[127.2905004,34.6079497],[127.290702,34.6082614],[127.290826,34.6085996],[127.290868,34.6089513],[127.2908261,34.6093031],[127.290702,34.6096413],[127.2905005,34.609953],[127.2902293,34.6102262]]]}"
140205,"2013097","4113310500","41133001","경기도 성남시 중원구1","경기도 성남시 중원구 상대원동(우리집부동산 부근)",3,3,0,1,2,0,127.165712548796,37.4387839772996,"{""type"":""Polygon"",""coordinates"":[[[127.1673106,37.4400582],[127.1669681,37.4402823],[127.1665774,37.4404488],[127.1661535,37.4405514],[127.1657125,37.440586],[127.1652716,37.4405514],[127.1648477,37.4404488],[127.164457,37.4402823],[127.1641145,37.4400582],[127.1638334,37.4397851],[127.1636246,37.4394736],[127.163496,37.4391355],[127.1634526,37.438784],[127.163496,37.4384324],[127.1636246,37.4380944],[127.1638335,37.4377828],[127.1641146,37.4375097],[127.164457,37.4372856],[127.1648477,37.4371191],[127.1652717,37.4370166],[127.1657125,37.4369819],[127.1661534,37.4370166],[127.1665774,37.4371191],[127.1669681,37.4372856],[127.1673105,37.4375097],[127.1675916,37.4377828],[127.1678005,37.4380944],[127.1679291,37.4384324],[127.1679725,37.438784],[127.1679291,37.4391355],[127.1678005,37.4394736],[127.1675917,37.4397851],[127.1673106,37.4400582]]]}"
140207,"2013097","4122010100","41220003","경기도 평택시3","경기도 평택시 서정동(지정초교사거리 부근)",4,4,0,1,3,0,127.057217701337,37.0669672696247,"{""type"":""Polygon"",""coordinates"":[[[127.0588079,37.0682416],[127.0584671,37.0684657],[127.0580783,37.0686322],[127.0576564,37.0687348],[127.0572177,37.0687694],[127.056779,37.0687348],[127.0563571,37.0686322],[127.0559683,37.0684657],[127.0556275,37.0682416],[127.0553478,37.0679685],[127.05514,37.0676569],[127.055012,37.0673188],[127.0549688,37.0669672],[127.0550121,37.0666157],[127.05514,37.0662776],[127.0553479,37.065966],[127.0556275,37.065693],[127.0559683,37.0654688],[127.0563571,37.0653023],[127.056779,37.0651998],[127.0572177,37.0651651],[127.0576564,37.0651998],[127.0580783,37.0653023],[127.0584671,37.0654688],[127.0588079,37.065693],[127.0590875,37.065966],[127.0592954,37.0662776],[127.0594233,37.0666157],[127.0594666,37.0669672],[127.0594234,37.0673188],[127.0592954,37.0676569],[127.0590876,37.0679685],[127.0588079,37.0682416]]]}"
198087,"2014110","4117110300","41171002","경기도 안양시 만안구2","경기도 안양시 만안구 박달동(충무목공인테리어 부근)",3,3,0,1,2,0,126.908943501542,37.4051753492639,"{""type"":""Polygon"",""coordinates"":[[[126.9105408,37.4064496],[126.9101985,37.4066737],[126.909808,37.4068402],[126.9093842,37.4069428],[126.9089435,37.4069774],[126.9085028,37.4069428],[126.908079,37.4068402],[126.9076885,37.4066737],[126.9073462,37.4064496],[126.9070652,37.4061765],[126.9068565,37.4058649],[126.906728,37.4055269],[126.9066846,37.4051753],[126.906728,37.4048238],[126.9068565,37.4044857],[126.9070653,37.4041742],[126.9073462,37.4039011],[126.9076885,37.403677],[126.9080791,37.4035105],[126.9085028,37.4034079],[126.9089435,37.4033733],[126.9093842,37.4034079],[126.9098079,37.4035105],[126.9101985,37.403677],[126.9105408,37.4039011],[126.9108217,37.4041742],[126.9110305,37.4044857],[126.911159,37.4048238],[126.9112024,37.4051753],[126.911159,37.4055269],[126.9110305,37.4058649],[126.9108218,37.4061765],[126.9105408,37.4064496]]]}"
198091,"2014110","4127110100","41271001","경기도 안산시 상록구1","경기도 안산시 상록구 일동(동신타운 부근)",3,3,0,0,2,1,126.864794627571,37.3128769591053,"{""type"":""Polygon"",""coordinates"":[[[126.86639,37.3141512],[126.8660481,37.3143753],[126.865658,37.3145419],[126.8652348,37.3146444],[126.8647946,37.314679],[126.8643545,37.3146444],[126.8639312,37.3145419],[126.8635411,37.3143753],[126.8631992,37.3141512],[126.8629187,37.3138781],[126.8627102,37.3135666],[126.8625818,37.3132285],[126.8625385,37.3128769],[126.8625818,37.3125254],[126.8627102,37.3121873],[126.8629187,37.3118758],[126.8631993,37.3116027],[126.8635412,37.3113786],[126.8639312,37.3112121],[126.8643545,37.3111095],[126.8647946,37.3110749],[126.8652348,37.3111095],[126.865658,37.3112121],[126.8660481,37.3113786],[126.86639,37.3116027],[126.8666705,37.3118758],[126.866879,37.3121873],[126.8670074,37.3125254],[126.8670508,37.3128769],[126.8670075,37.3132285],[126.8668791,37.3135666],[126.8666706,37.3138781],[126.86639,37.3141512]]]}"
198092,"2014110","4128510700","41285001","경기도 고양시 일산동구1","경기도 고양시 일산동구 풍동(숲속마을두산아파트 부근)",3,3,0,1,2,0,126.797657287955,37.6686030407986,"{""type"":""Polygon"",""coordinates"":[[[126.7992603,37.6698772],[126.7989167,37.6701013],[126.7985248,37.6702678],[126.7980995,37.6703704],[126.7976573,37.670405],[126.797215,37.6703704],[126.7967898,37.6702678],[126.7963978,37.6701013],[126.7960543,37.6698772],[126.7957724,37.6696041],[126.7955629,37.6692926],[126.7954339,37.6689546],[126.7953904,37.668603],[126.795434,37.6682515],[126.795563,37.6679134],[126.7957725,37.6676019],[126.7960544,37.6673289],[126.7963979,37.6671048],[126.7967898,37.6669382],[126.797215,37.6668357],[126.7976573,37.6668011],[126.7980995,37.6668357],[126.7985248,37.6669382],[126.7989167,37.6671048],[126.7992602,37.6673289],[126.7995421,37.6676019],[126.7997516,37.6679134],[126.7998806,37.6682515],[126.7999242,37.668603],[126.7998806,37.6689546],[126.7997516,37.6692926],[126.7995422,37.6696041],[126.7992603,37.6698772]]]}"
